Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,In-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,Out-of-Distribution,All,All,All,All
Category,Baseline,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Consistency,Consistency,Dropout,Dropout,Dropout,Dropout,Baseline,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Classification Report,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Consistency,Consistency,Dropout,Dropout,Dropout,Dropout,Technical_Metrics,Technical_Metrics,Technical_Metrics,Technical_Metrics
Sub-Category,Overall,B cell,B cell,B cell,B cell,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Dendritic cell,Dendritic cell,Dendritic cell,Dendritic cell,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Natural killer cell,Natural killer cell,Natural killer cell,Natural killer cell,Plasma cell,Plasma cell,Plasma cell,Plasma cell,Total_Accuracy,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,Random,Random_10,Random_50,Random_90,Random_925,Random_95,Num Samples,Inconsistent Predictions,FI_0.1%,FI_0.5%,FI_1.0%,FI_2.0%,Overall,B cell,B cell,B cell,B cell,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD14+ monocyte,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Cytotoxic T cell,Dendritic cell,Dendritic cell,Dendritic cell,Dendritic cell,Megakaryocyte,Megakaryocyte,Megakaryocyte,Megakaryocyte,Natural killer cell,Natural killer cell,Natural killer cell,Natural killer cell,Plasma cell,Plasma cell,Plasma cell,Plasma cell,Total_Accuracy,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,Random,Random_10,Random_50,Random_90,Random_925,Random_95,Num Samples,Inconsistent Predictions,FI_0.1%,FI_0.5%,FI_1.0%,FI_2.0%,Resource_Usage,Resource_Usage,Resource_Usage,Training_Convergence
Metric,Accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,score,score,score,score,score,score,Count,Count,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,accuracy,precision,recall,f1-score,support,precision,recall,f1-score,support,score,score,score,score,score,score,Count,Count,Accuracy,Accuracy,Accuracy,Accuracy,Total_Pipeline_Time_Min,Avg_Time_per_Iteration_Sec,Peak_RAM_GB,Autoencoder_Epochs
0,0.9316883956470208,0.9672131147540984,0.9833333333333332,0.975206611570248,120.0,0.9972826086956522,0.9976699029126214,0.9974762182100564,2575.0,0.97530549898167,0.9797953964194374,0.977545292166369,3910.0,0.8628571428571429,0.8278508771929824,0.8449916060436485,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.6654888103651354,0.7142857142857143,0.6890243902439024,791.0,0.9574468085106383,0.9183673469387756,0.9375,49.0,0.9316883956470208,0.928199248020542,0.852662821385358,0.8741465862078495,9281.0,0.9327314689545736,0.9316883956470208,0.931990709256924,9281.0,0.9257084365908848,0.9257084365908848,0.8244801206766512,0.4759185432604245,0.427400064648206,0.4211938368710268,9281,0,0.9278095032862838,0.9189742484646052,0.903889667061739,0.8640232733541644,0.8909818533084938,0.9989693377995362,0.9792876989138672,0.989030612244898,3959.0,0.927197395679195,0.9993620414673048,0.9619281547436292,3135.0,0.9220867670094668,0.9908518735362998,0.9552333580273044,13664.0,0.7351388570117053,0.6619136185162223,0.6966072205306655,4839.0,0.9944444444444444,0.6767485822306238,0.8053993250843644,529.0,1.0,0.6511627906976745,0.7887323943661971,86.0,0.7305122494432071,0.5961468556888404,0.6565252201761409,2751.0,0.8,0.8695652173913043,0.8333333333333334,23.0,0.8909818533084938,0.8885436314234444,0.8031298348052671,0.8358487023133166,28986.0,0.8852036937359072,0.8909818533084938,0.8857228551538038,28986.0,0.8832263851514526,0.8832263851514526,0.7065928379217553,0.4713620368453736,0.4710101428275718,0.4709514938246049,28986,0,0.888290899054716,0.8614503553439592,0.8305733802525357,0.7254536672876561,152.71,65.43,18.825664520263672,78
0,0.9343820708975326,0.9516129032258064,0.9833333333333332,0.9672131147540984,120.0,0.9976699029126214,0.9976699029126214,0.9976699029126214,2575.0,0.977105062325108,0.9823529411764704,0.9797219742379798,3910.0,0.8657223796033995,0.8377192982456141,0.8514906659236556,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.6778846153846154,0.7130214917825537,0.6950092421441775,791.0,0.9555555555555556,0.8775510204081632,0.9148936170212766,49.0,0.9343820708975326,0.9281938023758882,0.8489559984823445,0.8721783860527976,9281.0,0.93500494725421,0.9343820708975326,0.9345260972215248,9281.0,0.927626333369249,0.927626333369249,0.8195560823187156,0.5614050210106669,0.5056136192220666,0.4268182307940954,9281,0,0.9296412024566318,0.9111087167331108,0.8919297489494666,0.8653162374744101,0.862830331884358,0.9989743589743588,0.9840868906289468,0.9914747423336302,3959.0,0.9319060362771336,0.9996810207336524,0.9646044936903664,3135.0,0.9176271186440678,0.9905591334894612,0.9526993735482508,13664.0,0.6045335658238884,0.7164703451126265,0.6557594098732741,4839.0,0.9948453608247424,0.7296786389413988,0.8418756815703381,529.0,1.0,0.6511627906976745,0.7887323943661971,86.0,0.6762778505897772,0.1875681570338059,0.2936824132043255,2751.0,0.6451612903225806,0.8695652173913043,0.7407407407407407,23.0,0.862830331884358,0.8461656976820686,0.7660965242536089,0.7786961561658904,28986.0,0.8565449547232741,0.862830331884358,0.8444879664109071,28986.0,0.8541192299730904,0.8541192299730904,0.730235286000138,0.4937176567998344,0.478945007934865,0.4714965845580624,28986,0,0.8608293659007797,0.8412681984406265,0.8191195749672255,0.7345960118677982,152.27,56.67,19.06968688964844,86
0,0.9115397047731926,0.9831932773109244,0.975,0.9790794979079498,120.0,0.9965116279069768,0.9984466019417476,0.997478176527643,2575.0,0.9538919186911254,0.984143222506394,0.9687814702920444,3910.0,0.848761408083442,0.7138157894736842,0.7754615842763549,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.5918580375782881,0.7168141592920354,0.6483704974271012,791.0,0.9787234042553192,0.9387755102040816,0.9583333333333334,49.0,0.9115397047731926,0.9191174592282594,0.8408744104272428,0.8623666413991248,9281.0,0.9147695291560404,0.9115397047731926,0.911329583291123,9281.0,0.9035664260316776,0.9035664260316776,0.8204934813058937,0.4967352655963797,0.4434004956362461,0.4242861760586144,9281,0,0.9051826311819848,0.8874043745286069,0.8727507811658226,0.8513091261717487,0.8657627820327054,0.9981893429901708,0.9747410962364234,0.9863258785942493,3959.0,0.8747903856903297,0.9984051036682616,0.9325189929986594,3135.0,0.9298782608695652,0.9782640515222484,0.953457683940226,13664.0,0.6315602206013164,0.7336226493077082,0.6787762906309751,4839.0,0.9945205479452056,0.6862003780718336,0.8120805369127517,529.0,1.0,0.627906976744186,0.7714285714285715,86.0,0.6879562043795621,0.2740821519447474,0.391993761372498,2751.0,0.5806451612903226,0.782608695652174,0.6666666666666666,23.0,0.8657627820327054,0.8371925154708091,0.7569788878934478,0.7741560478180747,28986.0,0.8615986910532549,0.8657627820327054,0.8531910954311305,28986.0,0.8614434554612572,0.8614434554612572,0.7410819016076726,0.4806492789622577,0.475626164355206,0.4739460429172702,28986,0,0.8637618160491272,0.8423376802594356,0.8237079969640516,0.7588490995653074,166.38,63.62,19.06968688964844,95
0,0.9078763064324964,0.9915254237288136,0.975,0.9831932773109244,120.0,0.9968919968919968,0.996504854368932,0.996698388036512,2575.0,0.8887111517367459,0.9946291560102302,0.9386917692493364,3910.0,0.9749768303985172,0.5767543859649122,0.7247674819152601,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.6925925925925925,0.945638432364096,0.7995724211651524,791.0,1.0,0.9183673469387756,0.9574468085106383,49.0,0.9078763064324964,0.9430872494185834,0.8508617719558682,0.8714748397020493,9281.0,0.9210256465383752,0.9078763064324964,0.901408907323076,9281.0,0.8934274323887511,0.8934274323887511,0.7776317207197501,0.4216355996121107,0.421258485077039,0.4213015838810473,9281,0,0.9033509320116366,0.8743669863161297,0.8508781381316668,0.8149983837948497,0.8738356447940385,0.9992173232454996,0.967416014144986,0.9830595482546202,3959.0,0.9082728592162554,0.998086124401914,0.951063829787234,3135.0,0.8742703188145488,0.997438524590164,0.9318018664752332,13664.0,0.7484181982524857,0.5133292002479851,0.608972787447904,4839.0,0.9971671388101984,0.665406427221172,0.7981859410430839,529.0,1.0,0.6046511627906976,0.7536231884057971,86.0,0.7743697478991597,0.6699382042893494,0.7183784837263691,2751.0,0.6666666666666666,0.4347826086956521,0.5263157894736842,23.0,0.8738356447940385,0.8710477816131018,0.73138103329774,0.7839251793267408,28986.0,0.8669732981519417,0.8738356447940385,0.8634476750432913,28986.0,0.8613848064582902,0.8613848064582902,0.6690333264334507,0.4703029048506175,0.4713896363761815,0.4699406610087628,28986,0,0.8702477057890016,0.8390947353894984,0.8042158283309184,0.695335679293452,139.87,63.64,19.06968688964844,68
0,0.9515138454907875,0.9836065573770492,1.0,0.9917355371900828,120.0,0.9953560371517028,0.9988349514563106,0.9970924597790268,2575.0,0.9740787801778908,0.980306905370844,0.977182919056724,3910.0,0.8994413407821229,0.8826754385964912,0.8909795240730493,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.8065326633165829,0.8116308470290771,0.8090737240075614,791.0,1.0,0.9183673469387756,0.9574468085106383,49.0,0.9515138454907875,0.9573769223506684,0.8739769361739373,0.8993674430057068,9281.0,0.9513275460959424,0.9515138454907875,0.9513201773493138,9281.0,0.94521064540459,0.94521064540459,0.8410300614157957,0.6859605645943325,0.6843766835470315,0.6700571059153109,9281,0,0.9496821463204396,0.9408468914987608,0.927378515246202,0.8990410516108178,0.8754571172290071,0.9987002859370938,0.9704470825966152,0.9843709966692288,3959.0,0.8705195887746596,0.9993620414673048,0.9305019305019304,3135.0,0.9375614552605704,0.9769467213114754,0.9568489713998996,13664.0,0.6461383139828369,0.7935523868567886,0.7122982749026154,4839.0,0.9927710843373494,0.77882797731569,0.8728813559322034,529.0,1.0,0.5813953488372093,0.7352941176470589,86.0,0.8390804597701149,0.2653580516175936,0.4032035349351008,2751.0,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0,0.8754571172290071,0.8897630651744948,0.7794318534242477,0.8058078764719089,28986.0,0.8817735901464708,0.8754571172290071,0.8621134668286885,28986.0,0.8630338784240668,0.8630338784240668,0.6691609742634375,0.5683502380459531,0.5594390395363279,0.5477299385910439,28986,0,0.873352653004899,0.8397157248326779,0.8090802456358241,0.7120333954322776,154.82,64.66,18.75041961669922,82
0,0.9264087921560176,0.952,0.9916666666666668,0.9714285714285714,120.0,0.9968980224893368,0.9984466019417476,0.9976717112922002,2575.0,0.9776081424936388,0.982608695652174,0.9801020408163266,3910.0,0.7945339189848707,0.8925438596491229,0.8406919700490576,1824.0,1.0,0.4,0.5714285714285714,5.0,1.0,1.0,1.0,7.0,0.708256880733945,0.4879898862199747,0.5778443113772455,791.0,0.9772727272727272,0.8775510204081632,0.9247311827956988,49.0,0.9264087921560176,0.9258212114968148,0.8288508413172311,0.8579872948984589,9281.0,0.9237202531608112,0.9264087921560176,0.922685167462956,9281.0,0.9244693459756492,0.9244693459756492,0.8723736666307509,0.4345005926085551,0.4257623100958948,0.421678698416119,9281,0,0.925115828035772,0.917573537334339,0.9128326688934382,0.8976403404805516,0.8825984958255709,0.9994883601944232,0.9868653700429402,0.9931367564819522,3959.0,0.9187921430665494,0.9996810207336524,0.9575313168347084,3135.0,0.9381025569372642,0.982728337236534,0.959897061977268,13664.0,0.6633480825958702,0.743542054143418,0.7011595050180259,4839.0,0.9975247524752476,0.7618147448015122,0.8638799571275455,529.0,1.0,0.6511627906976745,0.7887323943661971,86.0,0.7160664819944599,0.3758633224282079,0.4929678188319428,2751.0,0.9583333333333334,1.0,0.9787234042553192,23.0,0.8825984958255709,0.8989569638246435,0.8127072050104924,0.8420035268616198,28986.0,0.8787412422855303,0.8825984958255709,0.8744263433370932,28986.0,0.8815669633616228,0.8815669633616228,0.7502828951907817,0.474377285586145,0.470913544469744,0.4714310356723935,28986,0,0.8807010280825226,0.8634858207410474,0.8480990823156006,0.775512316290623,151.39,55.33,19.013450622558597,87
0,0.931041913586898,0.9365079365079364,0.9833333333333332,0.959349593495935,120.0,0.9980597594101668,0.9988349514563106,0.998447204968944,2575.0,0.9497165393147646,0.9854219948849104,0.9672398644408184,3910.0,0.8551136363636364,0.825109649122807,0.83984375,1824.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,7.0,0.7661971830985915,0.6877370417193426,0.7248500999333778,791.0,0.9545454545454546,0.8571428571428571,0.9032258064516128,49.0,0.931041913586898,0.8075175636550689,0.7921974784574451,0.799119539911336,9281.0,0.9282769608246793,0.931041913586898,0.9292663363367712,9281.0,0.9308802930718674,0.9308802930718674,0.8774593255037173,0.6952375821570952,0.6402866070466544,0.5078008835254821,9281,0,0.9294257084365908,0.9164960672341342,0.905505872212046,0.8813705419674605,0.8857034430414683,0.9989780275932548,0.9876231371558476,0.993268131588975,3959.0,0.9239162488941316,0.9993620414673048,0.9601593625498008,3135.0,0.9430201436822088,0.9798741217798594,0.9610939631038692,13664.0,0.6574341546304163,0.7995453606116967,0.7215591197314435,4839.0,0.9930715935334872,0.8128544423440454,0.893970893970894,529.0,1.0,0.6395348837209303,0.7801418439716312,86.0,0.8035217794253939,0.3151581243184296,0.4527415143603133,2751.0,0.6451612903225806,0.8695652173913043,0.7407407407407407,23.0,0.8857034430414683,0.8706379047601842,0.8004396660986772,0.8129594462522085,28986.0,0.8885270325988744,0.8857034430414683,0.8752153581494696,28986.0,0.8876112606085697,0.8876112606085697,0.7839405230111088,0.5630856275443317,0.5284102670254606,0.4869592216932313,28986,0,0.884978955357759,0.8722831711860899,0.8531704961015663,0.7622990409163044,166.27,62.04,19.013450622558597,97
